bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1143271,1653,HCR4400,4,Passed,2019-01-15,"Calling a Joint Session of the Legislature.","Calling a Joint Session of the Legislature.",0,,2019-01-15,"Filed with Secretary of State.",https://legiscan.com/WA/bill/HCR4400/2019,https://app.leg.wa.gov/billsummary?BillNumber=4400&Year=2019&Initiative=false
1170938,1653,HCR4401,4,Passed,2019-02-13,"Adopting the code of conduct of the Washington state legislature.","Adopting the code of conduct of the Washington state legislature.",0,,2019-02-13,"Filed with Secretary of State.",https://legiscan.com/WA/bill/HCR4401/2019,https://app.leg.wa.gov/billsummary?BillNumber=4401&Year=2019&Initiative=false
1286735,1653,HCR4402,4,Passed,2020-01-14,"Specifying the status of bills, resolutions, and memorials.","Specifying the status of bills, resolutions, and memorials.",0,,2020-01-14,"Filed with Secretary of State.",https://legiscan.com/WA/bill/HCR4402/2019,https://app.leg.wa.gov/billsummary?BillNumber=4402&Year=2019&Initiative=false
1286747,1653,HCR4403,4,Passed,2020-03-12,"Calling a Joint Session of the Legislature for the State of the State Address.","Calling a Joint Session of the Legislature for the State of the State Address.",0,,2020-03-12,"Filed with Secretary of State.",https://legiscan.com/WA/bill/HCR4403/2019,https://app.leg.wa.gov/billsummary?BillNumber=4403&Year=2019&Initiative=false
1359222,1653,HCR4404,0,,,"Returning bills to their house of origin.","Returning bills to their house of origin.",0,,2020-03-12,"Read first time, rules suspended, and placed on second reading calendar.",https://legiscan.com/WA/bill/HCR4404/2019,https://app.leg.wa.gov/billsummary?BillNumber=4404&Year=2019&Initiative=false
1359212,1653,HCR4405,0,,,"Adjourning SINE DIE.","Adjourning SINE DIE.",0,,2020-03-12,"Returned to Rules Committee for second reading.",https://legiscan.com/WA/bill/HCR4405/2019,https://app.leg.wa.gov/billsummary?BillNumber=4405&Year=2019&Initiative=false
1137156,1653,HJR4200,1,Introduced,2019-01-14,"Amending the state Constitution to provide governmental continuity during emergency periods resulting from a catastrophic incident.","Amending the state Constitution to provide governmental continuity during emergency periods resulting from a catastrophic incident.",2759,"House Appropriations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4200/2019,https://app.leg.wa.gov/billsummary?BillNumber=4200&Year=2019&Initiative=false
1139425,1653,HJR4201,1,Introduced,2019-01-14,"Amending supreme court judge election provisions in the state Constitution.","Amending supreme court judge election provisions in the state Constitution.",3813,"House Civil Rights & Judiciary",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4201/2019,https://app.leg.wa.gov/billsummary?BillNumber=4201&Year=2019&Initiative=false
1154127,1653,HJR4202,1,Introduced,2019-01-16,"Proposing an amendment to the Constitution concerning the vote required to approve measures initiated by the people.","Proposing an amendment to the Constitution concerning the vote required to approve measures initiated by the people.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4202/2019,https://app.leg.wa.gov/billsummary?BillNumber=4202&Year=2019&Initiative=false
1154463,1653,HJR4203,1,Introduced,2019-01-16,"Amending the Constitution to allow a simple majority of voters voting to authorize school district bonds.","Amending the Constitution to allow a simple majority of voters voting to authorize school district bonds.",930,"House Education",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4203/2019,https://app.leg.wa.gov/billsummary?BillNumber=4203&Year=2019&Initiative=false
1164030,1653,HJR4204,1,Introduced,2019-01-21,"Proposing an amendment to the Constitution concerning county implementation of measures initiated by the people.","Proposing an amendment to the Constitution concerning county implementation of measures initiated by the people.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4204/2019,https://app.leg.wa.gov/billsummary?BillNumber=4204&Year=2019&Initiative=false
1173194,1653,HJR4205,1,Introduced,2019-01-25,"Requiring a balanced budget.","Requiring a balanced budget.",2759,"House Appropriations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4205/2019,https://app.leg.wa.gov/billsummary?BillNumber=4205&Year=2019&Initiative=false
1185065,1653,HJR4206,1,Introduced,2019-02-01,"Amending the Constitution to require a two-thirds majority vote of the legislature to raise taxes.","Amending the Constitution to require a two-thirds majority vote of the legislature to raise taxes.",933,"House Finance",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4206/2019,https://app.leg.wa.gov/billsummary?BillNumber=4206&Year=2019&Initiative=false
1185324,1653,HJR4207,1,Introduced,2019-02-01,"Requiring that all mandatory, regulatory, licensing, and disciplinary functions regarding the practice of law and administration of justice reside exclusively in the supreme court.","Requiring that all mandatory, regulatory, licensing, and disciplinary functions regarding the practice of law and administration of justice reside exclusively in the supreme court.",3813,"House Civil Rights & Judiciary",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4207/2019,https://app.leg.wa.gov/billsummary?BillNumber=4207&Year=2019&Initiative=false
1213118,1653,HJR4208,1,Introduced,2019-02-21,"Capping the amount of residential property value that is subject to property taxation for state purposes.","Capping the amount of residential property value that is subject to property taxation for state purposes.",933,"House Finance",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJR4208/2019,https://app.leg.wa.gov/billsummary?BillNumber=4208&Year=2019&Initiative=false
1292481,1653,HJR4209,1,Introduced,2020-01-13,"Amending the Constitution with regard to the term length of members of the Legislature.","Amending the Constitution with regard to the term length of members of the Legislature.",3819,"House State Government & Tribal Relations",2020-01-13,"First reading, referred to State Government & Tribal Relations.",https://legiscan.com/WA/bill/HJR4209/2019,https://app.leg.wa.gov/billsummary?BillNumber=4209&Year=2019&Initiative=false
1308047,1653,HJR4210,1,Introduced,2020-01-15,"Authorizing pretrial detention for certain offenses involving firearms.","Authorizing pretrial detention for certain offenses involving firearms.",2763,"House Public Safety",2020-02-04,"Public hearing in the House Committee on Public Safety at 3:30 PM.",https://legiscan.com/WA/bill/HJR4210/2019,https://app.leg.wa.gov/billsummary?BillNumber=4210&Year=2019&Initiative=false
