bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
662320,1152,HB1000,1,Introduced,2015-01-12,"Concerning water rights appurtenant to land managed by the department of fish and wildlife.","Concerning water rights appurtenant to land managed by the department of fish and wildlife.",3150,"House General Government & Information Technology",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1000/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1000&year=2015
662377,1152,HB1001,1,Introduced,2015-01-12,"Funding education first.","Funding education first.",2759,"House Appropriations",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1001/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1001&year=2015
662116,1152,HB1002,4,Passed,2015-04-17,"Prohibiting unfair and deceptive dental insurance practices.","Prohibiting unfair and deceptive dental insurance practices.",0,,2015-04-17,"Effective date 1/1/2017.",https://legiscan.com/WA/bill/HB1002/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1002&year=2015
662255,1152,HB1003,4,Passed,2016-03-29,"Concerning the development of a model policy on natural disaster school infrastructure recovery.","Concerning the development of a model policy on natural disaster school infrastructure recovery.",0,,2016-03-29,"Effective date 6/9/2016.",https://legiscan.com/WA/bill/HB1003/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1003&year=2015
662222,1152,HB1004,4,Passed,2015-04-23,"Clarifying provisions that allow for the tasting of alcohol by students under twenty-one years of age.","Clarifying provisions that allow for the tasting of alcohol by students under twenty-one years of age.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1004/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1004&year=2015
662328,1152,HB1005,1,Introduced,2015-01-12,"Addressing third-party payor release of health care information.","Addressing third-party payor release of health care information.",937,"House Health Care and Wellness",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1005/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1005&year=2015
662311,1152,HB1006,1,Introduced,2015-01-12,"Providing damages for wage violations.","Providing damages for wage violations.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1006/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1006&year=2015
662148,1152,HB1007,1,Introduced,2015-01-12,"Limiting the use of automated traffic safety cameras to detect speed violations not in school zones to certain cities.","Limiting the use of automated traffic safety cameras to detect speed violations not in school zones to certain cities.",946,"House Transportation",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1007/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1007&year=2015
662361,1152,HB1008,1,Introduced,2015-01-12,"Authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data.","Authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data.",3150,"House General Government & Information Technology",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1008/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1008&year=2015
662295,1152,HB1009,1,Introduced,2015-01-12,"Allowing rural counties providing emergency medical services to locations with a rural amphitheater to impose an additional admissions surcharge.","Allowing rural counties providing emergency medical services to locations with a rural amphitheater to impose an additional admissions surcharge.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1009/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1009&year=2015
662271,1152,HB1010,4,Passed,2015-04-17,"Concerning referral of medical cases to occupational therapists.","Concerning referral of medical cases to occupational therapists.",0,,2015-04-17,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1010/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1010&year=2015
662247,1152,HB1011,4,Passed,2015-04-17,"Assigning counties to two climate zones for purposes of the state building code.","Assigning counties to two climate zones for purposes of the state building code.",0,,2015-04-17,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1011/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1011&year=2015
662345,1152,HB1012,1,Introduced,2015-01-12,"Expanding the duties and obligations of manufactured/mobile home community landlords.","Expanding the duties and obligations of manufactured/mobile home community landlords.",940,"House Judiciary",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1012/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1012&year=2015
662385,1152,HB1013,4,Passed,2015-05-07,"Authorizing regular meetings of county legislative authorities to be held at alternate locations within the county.","Authorizing regular meetings of county legislative authorities to be held at alternate locations within the county.",0,,2015-05-07,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1013/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1013&year=2015
662279,1152,HB1014,2,Engrossed,2015-03-02,"Concerning antifreeze products.","Concerning antifreeze products.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1014/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1014&year=2015
662353,1152,HB1015,1,Introduced,2015-01-12,"Allowing for the vacation of certain driving-related convictions under limited circumstances.","Allowing for the vacation of certain driving-related convictions under limited circumstances.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1015/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1015&year=2015
662418,1152,HB1016,1,Introduced,2015-01-12,"Clarifying legal financial obligation provisions.","Clarifying legal financial obligation provisions.",2763,"House Public Safety",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1016/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1016&year=2015
662181,1152,HB1017,1,Introduced,2015-01-12,"Allowing for more than one vacation of a misdemeanor and gross misdemeanor conviction.","Allowing for more than one vacation of a misdemeanor and gross misdemeanor conviction.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1017/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1017&year=2015
662239,1152,HB1018,1,Introduced,2015-01-12,"Preventing breed-based dog regulations.","Preventing breed-based dog regulations.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1018/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1018&year=2015
662189,1152,HB1019,1,Introduced,2015-01-12,"Removing the requirement that housing organizations apply to the Washington state quality award program.","Removing the requirement that housing organizations apply to the Washington state quality award program.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1019/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1019&year=2015
662108,1152,HB1020,1,Introduced,2015-01-12,"Concerning the medical use of cannabis.","Concerning the medical use of cannabis.",3145,"House Commerce & Gaming",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1020/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1020&year=2015
662165,1152,HB1021,4,Passed,2015-06-10,"Creating a silver alert system.","Creating a silver alert system.",0,,2015-06-10,"Effective date 8/27/2015.",https://legiscan.com/WA/bill/HB1021/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1021&year=2015
662173,1152,HB1022,4,Passed,2016-03-31,"Prohibiting general power of attorney provisions in bail bond agreements.","Prohibiting general power of attorney provisions in bail bond agreements.",0,,2016-03-31,"Effective date 6/9/2016.",https://legiscan.com/WA/bill/HB1022/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1022&year=2015
662214,1152,HB1023,1,Introduced,2015-01-12,"Concerning one candidate primaries.","Concerning one candidate primaries.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1023/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1023&year=2015
