bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
662426,1152,HB1024,1,Introduced,2015-01-12,"Reducing the penalty for possession of controlled substances.","Reducing the penalty for possession of controlled substances.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1024/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1024&year=2015
662394,1152,HB1025,1,Introduced,2015-01-12,"Requiring the submission of a waiver to the federal government to create the Washington health security trust.","Requiring the submission of a waiver to the federal government to create the Washington health security trust.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1025/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1025&year=2015
662132,1152,HB1026,1,Introduced,2015-01-12,"Modifying write-in voting provisions.","Modifying write-in voting provisions.",3147,"House State Government",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1026/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1026&year=2015
662205,1152,HB1027,1,Introduced,2015-01-12,"Concerning Indian tribes and dental health aide therapy services.","Concerning Indian tribes and dental health aide therapy services.",2760,"House Community Development, Housing & Tribal Affairs",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1027/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1027&year=2015
662263,1152,HB1028,1,Introduced,2015-01-12,"Requiring cities and counties to provide security for their courts.","Requiring cities and counties to provide security for their courts.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1028/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1028&year=2015
662230,1152,HB1029,1,Introduced,2015-01-12,"Establishing the position and authority of warrant officers in first-class cities to enforce court orders and outstanding warrants.","Establishing the position and authority of warrant officers in first-class cities to enforce court orders and outstanding warrants.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1029/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1029&year=2015
662369,1152,HB1030,1,Introduced,2015-01-12,"Creating the Washington advance higher education loan program.","Creating the Washington advance higher education loan program.",2759,"House Appropriations",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1030/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1030&year=2015
662303,1152,HB1031,2,Engrossed,2015-03-02,"Expanding participation in college in the high school programs.","Expanding participation in college in the high school programs.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1031/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1031&year=2015
662434,1152,HB1032,2,Engrossed,2015-02-12,"Amending the fee structure provided in RCW 77.55.321 to encourage habitat projects that provide a public benefit.","Amending the fee structure provided in RCW 77.55.321 to encourage habitat projects that provide a public benefit.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1032/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1032&year=2015
662450,1152,HB1033,1,Introduced,2015-01-12,"Providing tools for the department of fish and wildlife to use in order to promote access to private lands for hunting.","Providing tools for the department of fish and wildlife to use in order to promote access to private lands for hunting.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1033/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1033&year=2015
662458,1152,HB1034,2,Engrossed,2015-03-02,"Concerning surname changes after the solemnization of a marriage.","Concerning surname changes after the solemnization of a marriage.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1034/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1034&year=2015
662197,1152,HB1035,1,Introduced,2015-01-12,"Protecting the personal information of a person acting as a guardian ad litem.","Protecting the personal information of a person acting as a guardian ad litem.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1035/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1035&year=2015
662092,1152,HB1036,2,Engrossed,2015-03-02,"Addressing survivor benefits from the public employees' retirement system for survivors of members in registered domestic partnerships prior to December 2012.","Addressing survivor benefits from the public employees' retirement system for survivors of members in registered domestic partnerships prior to December 2012.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1036/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1036&year=2015
662100,1152,HB1037,2,Engrossed,2015-03-06,"Implementing changes to child support based on the child support schedule work group report.","Implementing changes to child support based on the child support schedule work group report.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1037/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1037&year=2015
662085,1152,HB1038,1,Introduced,2015-01-12,"Extending apprenticeship utilization requirements.","Extending apprenticeship utilization requirements.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1038/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1038&year=2015
662124,1152,HB1039,1,Introduced,2015-01-12,"Allowing the use of a signature stamp for voting purposes.","Allowing the use of a signature stamp for voting purposes.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1039/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1039&year=2015
662442,1152,HB1040,1,Introduced,2015-01-12,"Removing provisions relating to subversive activities.","Removing provisions relating to subversive activities.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1040/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1040&year=2015
662402,1152,HB1041,1,Introduced,2015-01-12,"Providing for the vacation of misdemeanor marijuana offense convictions.","Providing for the vacation of misdemeanor marijuana offense convictions.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1041/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1041&year=2015
662574,1152,HB1042,2,Engrossed,2015-02-09,"Clarifying that the physical therapist scope of practice does not include dry needling.","Clarifying that the physical therapist scope of practice does not include dry needling.",937,"House Health Care and Wellness",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1042/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1042&year=2015
663218,1152,HB1043,4,Passed,2015-04-17,"Concerning self-service storage facilities.","Concerning self-service storage facilities.",0,,2015-04-17,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1043/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1043&year=2015
663200,1152,HB1044,1,Introduced,2015-01-12,"Increasing the regulatory oversight and accountability of the office of minority and women's business enterprises.","Increasing the regulatory oversight and accountability of the office of minority and women's business enterprises.",2759,"House Appropriations",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1044/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1044&year=2015
663504,1152,HB1045,4,Passed,2015-04-23,"Concerning the practice of East Asian medicine.","Concerning the practice of East Asian medicine.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1045/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1045&year=2015
663563,1152,HB1046,1,Introduced,2015-01-12,"Concerning East Asian medicine practitioners.","Concerning East Asian medicine practitioners.",937,"House Health Care and Wellness",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1046/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1046&year=2015
663416,1152,HB1047,4,Passed,2015-04-23,"Concerning state agencies continuity of operations planning requirements.","Concerning state agencies continuity of operations planning requirements.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1047/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1047&year=2015
663536,1152,HB1048,2,Engrossed,2015-02-11,"Updating, clarifying, and strengthening department of financial institutions' enforcement, licensing, and examination statutes relating to residential mortgage lending, and enhancing the crime of mortgage fraud in the residential mortgage lending process.","Updating, clarifying, and strengthening department of financial institutions' enforcement, licensing, and examination statutes relating to residential mortgage lending, and enhancing the crime of mortgage fraud in the residential mortgage lending process.",1735,"House Business & Financial Services",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1048/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1048&year=2015
664312,1152,HB1049,1,Introduced,2015-01-12,"Concerning cadmium in children's jewelry.","Concerning cadmium in children's jewelry.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1049/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1049&year=2015
664380,1152,HB1050,1,Introduced,2015-01-12,"Delaying annual leave payments upon employment termination due to a reduction in force.","Delaying annual leave payments upon employment termination due to a reduction in force.",3147,"House State Government",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1050/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1050&year=2015
664744,1152,HB1051,1,Introduced,2015-01-12,"Authorizing elections for the office of justice of the supreme court as partisan elections.","Authorizing elections for the office of justice of the supreme court as partisan elections.",940,"House Judiciary",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1051/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1051&year=2015
665096,1152,HB1052,4,Passed,2015-04-17,"Requiring institutions of higher education to make an early registration process available to spouses and domestic partners of active members of the military.","Requiring institutions of higher education to make an early registration process available to spouses and domestic partners of active members of the military.",0,,2015-04-17,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1052/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1052&year=2015
665193,1152,HB1053,2,Engrossed,2015-02-11,"Concerning filing requirements for large group health benefit plans, stand-alone dental plans, and stand-alone vision plans.","Concerning filing requirements for large group health benefit plans, stand-alone dental plans, and stand-alone vision plans.",937,"House Health Care and Wellness",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1053/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1053&year=2015
665029,1152,HB1054,1,Introduced,2015-01-12,"Concerning collection agency transaction fees for processing electronic payments.","Concerning collection agency transaction fees for processing electronic payments.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1054/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1054&year=2015
665375,1152,HB1055,1,Introduced,2015-01-12,"Making conforming amendments made necessary by reorganizing and streamlining central service functions, powers, and duties of state government.","Making conforming amendments made necessary by reorganizing and streamlining central service functions, powers, and duties of state government.",3150,"House General Government & Information Technology",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1055/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1055&year=2015
665394,1152,HB1056,1,Introduced,2015-01-12,"Restricting the use of certain parcels of public land to access a public body of water.","Restricting the use of certain parcels of public land to access a public body of water.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1056/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1056&year=2015
665358,1152,HB1057,1,Introduced,2015-01-12,"Modifying authority regarding where mopeds may be operated.","Modifying authority regarding where mopeds may be operated.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1057/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1057&year=2015
665656,1152,HB1058,1,Introduced,2015-01-12,"Requiring lobbying reports to be filed electronically.","Requiring lobbying reports to be filed electronically.",3147,"House State Government",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1058/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1058&year=2015
665788,1152,HB1059,4,Passed,2015-05-18,"Concerning sexually violent predators.","Concerning sexually violent predators.",0,,2015-05-18,"Effective date 7/24/2015*.",https://legiscan.com/WA/bill/HB1059/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1059&year=2015
666203,1152,HB1060,4,Passed,2015-04-17,"Directing state investments of existing litter tax revenues under chapter 82.19 RCW in material waste management efforts without increasing the tax rate.","Directing state investments of existing litter tax revenues under chapter 82.19 RCW in material waste management efforts without increasing the tax rate.",0,,2015-04-17,"Effective date 7/24/2015*.",https://legiscan.com/WA/bill/HB1060/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1060&year=2015
666217,1152,HB1061,4,Passed,2015-07-06,"Increasing the number of district court judges in Skagit county.","Increasing the number of district court judges in Skagit county.",0,,2015-07-06,"Effective date 10/9/2015.",https://legiscan.com/WA/bill/HB1061/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1061&year=2015
666229,1152,HB1062,2,Engrossed,2015-02-11,"Updating the department of financial institutions' regulatory enforcement powers regarding credit unions and organizations providing services to credit unions.","Updating the department of financial institutions' regulatory enforcement powers regarding credit unions and organizations providing services to credit unions.",1735,"House Business & Financial Services",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1062/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1062&year=2015
666190,1152,HB1063,4,Passed,2015-04-23,"Concerning cosmetology, hair design, barbering, esthetics, and manicuring.","Concerning cosmetology, hair design, barbering, esthetics, and manicuring.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1063/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1063&year=2015
666176,1152,HB1064,1,Introduced,2015-01-12,"Concerning regulation of locksmith services.","Concerning regulation of locksmith services.",1735,"House Business & Financial Services",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1064/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1064&year=2015
666628,1152,HB1065,2,Engrossed,2015-03-02,"Amending the insurer holding company act.","Amending the insurer holding company act.",1735,"House Business & Financial Services",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1065/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1065&year=2015
666604,1152,HB1066,1,Introduced,2015-01-12,"Creating certified independent review organizations for addressing long-term care insurance disputes.","Creating certified independent review organizations for addressing long-term care insurance disputes.",937,"House Health Care and Wellness",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1066/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1066&year=2015
666653,1152,HB1067,2,Engrossed,2015-06-24,"Reauthorizing the medicaid fraud false claims act.","Reauthorizing the medicaid fraud false claims act.",943,"House Rules",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1067/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1067&year=2015
666677,1152,HB1068,4,Passed,2015-05-14,"Concerning sexual assault examination kits.","Concerning sexual assault examination kits.",0,,2015-05-14,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1068/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1068&year=2015
666702,1152,HB1069,4,Passed,2015-05-11,"Concerning preservation of DNA work product.","Concerning preservation of DNA work product.",0,,2015-05-11,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1069/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1069&year=2015
667587,1152,HB1070,2,Engrossed,2015-02-12,"Creating the international commercial arbitration act.","Creating the international commercial arbitration act.",940,"House Judiciary",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1070/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1070&year=2015
667188,1152,HB1071,1,Introduced,2015-01-12,"Making technical changes to form year designations.","Making technical changes to form year designations.",940,"House Judiciary",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1071/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1071&year=2015
668464,1152,HB1072,1,Introduced,2015-01-12,"Requiring tracking of prevailing wage surveys.","Requiring tracking of prevailing wage surveys.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1072/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1072&year=2015
668723,1152,HB1073,1,Introduced,2015-01-12,"Improving the accuracy of the prevailing rate of wage.","Improving the accuracy of the prevailing rate of wage.",3146,"House Labor",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1073/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1073&year=2015
668367,1152,HB1074,1,Introduced,2015-01-12,"Ensuring the accuracy of prevailing wage survey data provided by interested parties.","Ensuring the accuracy of prevailing wage survey data provided by interested parties.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1074/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1074&year=2015
668691,1152,HB1075,1,Introduced,2015-01-12,"Creating an exemption from the intents and affidavits requirements when paying prevailing wages.","Creating an exemption from the intents and affidavits requirements when paying prevailing wages.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1075/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1075&year=2015
668431,1152,HB1076,1,Introduced,2015-01-12,"Modernizing life insurance reserve requirements.","Modernizing life insurance reserve requirements.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1076/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1076&year=2015
668529,1152,HB1077,4,Passed,2015-04-23,"Regulating credit for reinsurance.","Regulating credit for reinsurance.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1077/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1077&year=2015
668626,1152,HB1078,4,Passed,2015-04-23,"Enhancing the protection of consumer financial information.","Enhancing the protection of consumer financial information.",0,,2015-04-23,"Effective date 7/24/2015.",https://legiscan.com/WA/bill/HB1078/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1078&year=2015
668398,1152,HB1079,1,Introduced,2015-01-12,"Allowing public agencies to enter into contracts providing for the joint utilization of architectural or engineering services.","Allowing public agencies to enter into contracts providing for the joint utilization of architectural or engineering services.",3147,"House State Government",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1079/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1079&year=2015
668659,1152,HB1080,1,Introduced,2015-01-12,"Restoring funding to the health professional loan repayment and scholarship program fund.","Restoring funding to the health professional loan repayment and scholarship program fund.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1080/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1080&year=2015
668497,1152,HB1081,1,Introduced,2015-01-12,"Expanding participation in the college in the high school programs.","Expanding participation in the college in the high school programs.",0,,2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1081/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1081&year=2015
670644,1152,HB1082,1,Introduced,2015-01-12,"Allowing for the collection of DNA from adults arrested for a ranked felony or a gross misdemeanor violation of certain orders.","Allowing for the collection of DNA from adults arrested for a ranked felony or a gross misdemeanor violation of certain orders.",2763,"House Public Safety",2016-03-10,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1082/2015,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1082&year=2015
