0,1,2
HB1370,1516,Introduced
HB1371,1516,Introduced
HB1372,1516,Introduced
HB1375,1516,Introduced
HB1376,1516,Introduced
HB1377,1516,Introduced
HB1380,1516,Introduced
HB1382,1516,Passed
HB1384,1516,Introduced
HB1385,1516,Introduced
HB1386,1516,Introduced
HB1387,1516,Introduced
HB1388,1516,Introduced
HB1389,1516,Passed
HB1390,1516,Engrossed
HB1391,1516,Engrossed
HB1392,1516,Passed
HB1394,1516,Introduced
HB1395,1516,Introduced
HB1397,1516,Engrossed
HB1398,1516,Introduced
HB1399,1516,Introduced
HB1401,1516,Introduced
HB1402,1516,Introduced
HB1405,1516,Introduced
HB1406,1516,Introduced
HB1407,1516,Introduced
HB1408,1516,Passed
HB1410,1516,Passed
HB1412,1516,Introduced
HB1413,1516,Introduced
HB1415,1516,Introduced
HB1416,1516,Introduced
HB1417,1516,Engrossed
HB1418,1516,Introduced
HB1419,1516,Introduced
HB1420,1516,Engrossed
HB1422,1516,Passed
HB1424,1516,Passed
HB1426,1516,Introduced
HB1427,1516,Introduced
HB1428,1516,Engrossed
HB1429,1516,Introduced
HB1431,1516,Passed
HB1432,1516,Introduced
HB1433,1516,Introduced
HB1434,1516,Introduced
HB1436,1516,Engrossed
HB1437,1516,Introduced
HB1440,1516,Passed
HB1443,1516,Engrossed
HB1444,1516,Introduced
HB1445,1516,Introduced
HB1447,1516,Passed
HB1450,1516,Passed
HB1451,1516,Introduced
HB1452,1516,Introduced
HB1453,1516,Introduced
HB1458,1516,Introduced
HB1459,1516,Introduced
HB1460,1516,Introduced
HB1461,1516,Introduced
HB1462,1516,Introduced
HB1464,1516,Introduced
HB1465,1516,Engrossed
HB1468,1516,Introduced
HB1469,1516,Engrossed
HB1470,1516,Engrossed
HB1471,1516,Passed
HB1472,1516,Engrossed
HB1473,1516,Introduced
HB1474,1516,Introduced
HB1476,1516,Introduced
HB1477,1516,Introduced
HB1479,1516,Introduced
HB1481,1516,Introduced
HB1482,1516,Introduced
HB1483,1516,Introduced
HB1484,1516,Introduced
HB1486,1516,Introduced
HB1488,1516,Introduced
HB1489,1516,Introduced
HB1490,1516,Introduced
HB1492,1516,Introduced
HB1493,1516,Introduced
HB1496,1516,Passed
HB1498,1516,Introduced
HB1499,1516,Engrossed
HB1501,1516,Introduced
HB1502,1516,Introduced
HB1503,1516,Passed
HB1504,1516,Introduced
HB1505,1516,Engrossed
HB1506,1516,Introduced
HB1507,1516,Introduced
HB1508,1516,Introduced
HB1510,1516,Introduced
HB1511,1516,Engrossed
HB1512,1516,Engrossed
HB1513,1516,Engrossed
HB1515,1516,Introduced
HB1516,1516,Passed
HB1517,1516,Introduced
HB1518,1516,Introduced
HB1520,1516,Introduced
HB1521,1516,Introduced
HB1522,1516,Introduced
HB1523,1516,Introduced
HB1527,1516,Passed
HB1529,1516,Introduced
HB1532,1516,Engrossed
HB1533,1516,Introduced
HB1535,1516,Introduced
HB1538,1516,Introduced
HB1541,1516,Passed
HB1543,1516,Introduced
HB1546,1516,Passed
HB1547,1516,Passed
HB1548,1516,Introduced
HB1549,1516,Introduced
HB1550,1516,Passed
HB1551,1516,Engrossed
HB1553,1516,Passed
HB1554,1516,Passed
HB1556,1516,Introduced
HB1559,1516,Passed
HB1560,1516,Engrossed
HB1561,1516,Engrossed
HB1562,1516,Engrossed
HB1563,1516,Introduced
HB1564,1516,Passed
HB1565,1516,Engrossed
HB1566,1516,Introduced
HB1570,1516,Passed
HB1571,1516,Engrossed
HB1573,1516,Introduced
HB1577,1516,Introduced
HB1578,1516,Passed
HB1579,1516,Introduced
HB1580,1516,Introduced
HB1584,1516,Introduced
HB1586,1516,Passed
HB1587,1516,Introduced
HB1589,1516,Introduced
HB1591,1516,Introduced
HB1592,1516,Introduced
HB1593,1516,Introduced
HB1594,1516,Introduced
HB1597,1516,Introduced
HB1598,1516,Introduced
HB1599,1516,Passed
HB1601,1516,Passed
HB1603,1516,Introduced
HB1605,1516,Engrossed
HB1608,1516,Introduced
HB1612,1516,Introduced
HB1614,1516,Introduced
HB1615,1516,Introduced
HB1616,1516,Introduced
HB1617,1516,Passed
HB1618,1516,Introduced
HB1619,1516,Passed
HB1621,1516,Introduced
HB1622,1516,Passed
HB1627,1516,Passed
HB1628,1516,Introduced
HB1630,1516,Introduced
HB1631,1516,Engrossed
HB1632,1516,Engrossed
HB1633,1516,Passed
HB1634,1516,Introduced
HB1638,1516,Introduced
HB1639,1516,Engrossed
HB1640,1516,Introduced
HB1642,1516,Introduced
HB1643,1516,Introduced
HB1644,1516,Engrossed
HB1645,1516,Engrossed
HB1646,1516,Engrossed
HB1647,1516,Engrossed
HB1648,1516,Introduced
HB1651,1516,Engrossed
HB1652,1516,Passed
HB1653,1516,Introduced
HB1654,1516,Engrossed
HB1655,1516,Introduced
HB1657,1516,Introduced
HB1659,1516,Engrossed
HB1660,1516,Introduced
HB1661,1516,Introduced
HB1663,1516,Introduced
HB1664,1516,Introduced
HB1666,1516,Engrossed
HB1667,1516,Engrossed
HB1669,1516,Introduced
HB1673,1516,Introduced
HB1675,1516,Introduced
HB1676,1516,Engrossed
HB1677,1516,Introduced
HB1679,1516,Introduced
HB1684,1516,Introduced
HB1687,1516,Introduced
HB1688,1516,Introduced
HB1691,1516,Introduced
HB1692,1516,Introduced
