bill_number
SB6569
HB2817
SB6154
HB1390
SB6260
SB6642
HB2619
SB5186
HB1000
SB5000
HB1047
HB1541
SB5586
HB1049
HB1075
HB1067
SB5024
SB5239
SB5251
SB5715
HB1484
SB5556
SB5012
SB5576
SB5699
HB1351
SB5194
HB1782
SB5669
SB5160
SB5401
SB5047
SB5626
HB1017
SB5651
HB1783
SB5607
HB1843
SB5379
SB5450
SB5412
HB1436
HB1234
HB1506
SB5299
HB1796
HB1799
HB1800
HB1808
SB5663
SB5596
HB1251
SB5363
HB1628
SB5241
HB1170
HB1237
SB5013
SB5320
SB5402
HB1795
SB5656
HB1570
SB5407
SB5692
SB5132
HB1100
HB1122
HB1134
HB1174
HB1270
HB1384
HB1387
HB1483
HB1501
HB1612
HB1731
HB1933
HB1900
SB5050
SB5216
SB5256
SB5268
SB5463
SB5441
SB5444
SB5506
SB5536
SB5552
SB5553
SB5671
HB1117
HB1335
HB1427
HB1492
HB1789
SB5600
HB1039
HB1712
HB1801
SB5504
SB5711
HB1048
HB1185
SB5242
HB1257
HB1315
SB5200
SB5199
SB5198
HB1464
SB5342
SB5384
HB1299
SB5196
HB2045
SB5770
HB2112
SB5823
SB5628
HB1073
SB5026
HB1780
SB5565
SB5011
SB5518
HB1032
HB1980
SB5647
HB1053
SB5144
HB1209
SB5396
HB1697
HB2001
SB5073
SB5040
HB1054
HB1359
SB5231
HB1968
SB5500
HB1520
HB1941
SB5362
HB1505
HB1153
HB2114
HB1518
SB5155
HB1711
SB5546
HB1128
SB5800
SB5822
HB1633
HB1874
SB5427
HB1661
HB1812
HB1744
SB5465
SB5183
SB5107
SB5070
SB5258
HB1444
HB1445
HB1451
SB5772
HB1764
SB5554
HB1851
HB2015
SB5060
HB1763
SB5550
SB5323
SB5324
HB1212
HB1060
SB5290
HB1692
HB2064
HB1461
HB1462
HB2021
HB1895
HB1490
HB1094
HB1473
HB1805
HB1105
HB1402
HB1566
HB2057
HB1824
SB5825
HB1730
SB5111
SB5127
HB1508
SB5696
HB1551
SB5708
HB1300
SB5527
HB1301
SB5528
HB1302
HB1486
SB5140
HB1482
SB5440
SB5347
HB1116
SB5032
HB1529
HB1889
HB1867
HB1334
SB5128
SB5232
HB1622
HB1428
HB1963
HB1630
SB5620
HB1538
HB2145
SB5433
SB5833
SB5892
SB5036
SB5322
HB1160
SB5048
SB5294
HB1646
SB5130
HB1858
HB1431
HB1147
SB5096
HB1655
HB1657
HB2115
HB1511
HB2033
SB5456
HB1062
SB5014
HB1082
SB5286
HB1286
HB1415
HB1493
HB1677
HB1720
HB1884
HB2107
SB5106
HB1909
SB5015
SB5043
HB1061
HB1145
SB5343
HB1036
SB5016
HB1219
HB1037
HB1218
SB5777
HB1597
HB1647
HB2038
HB1139
HB1433
HB1561
SB5022
SB5764
SB5678
SB5125
HB1137
SB5745
HB1385
HB1713
HB2131
HB2148
SB5499
HB2182
SB5914
HB1434
HB1521
SB5922
SB5929
HB1338
HB2146
HB2200
HB1565
SB5835
SB5385
HB2186
HB1065
HB1416
HB1098
HB1099
HB1124
HB1092
HB1151
HB1250
SB5254
HB2185
SB5875
HB1046
HB1777
SB5947
HB2098
SB5928
SB5883
SB5939
SB5944
SB5890
HB2224
SB5951
SB5894
HB1341
HB2226
SB5517
SB5224
SB5409
HB1577
HB2222
HB1786
SB5573
SB5609
HB2242
SB5975
HB1179
HB1168
HB1931
SB5952
HB1476
SB5025
HB1919
HB1235
SB5498
HB1368
HB1440
HB1158
HB1715
HB2201
HB1702
SB5762
SB5935
SB5993
HB1532
SB5143
SB5765
SB5821
SB5210
HB1651
HB1768
HB1548
SB5386
SB6233
SB5525
HB1737
SB5592
SB6223
SB5919
SB6446
SB6423
HB2592
HB2282
HB2284
HB2312
HB2389
HB2279
HB2477
HB2468
SB6040
SB6043
HB2716
HB1811
HB2515
HB2750
HB2517
SB6239
HB2417
SB6080
HB2340
HB2653
SB6408
SB6188
SB6165
HB2652
SB6128
HB2782
SB6434
SB6109
HB2624
HB2751
HB2591
HB2781
HB2929
SB6209
SB6309
HB2489
SB6048
HB1513
HB1896
HB2297
HB2378
HB2406
HB2455
HB2595
HB2746
SB5019
SB5110
SB5219
SB5236
SB5668
SB5991
SB6002
SB6021
SB6202
SB6353
SB6402
SB6189
SB6203
SB6253
HB2970
HB1920
SB5131
HB1857
HB2285
SB6020
HB2300
SB6539
SB6147
SB6150
SB6129
HB1458
SB5453
HB2328
HB2511
HB2452
SB6340
SB6305
HB2410
SB5094
SB5411
SB5108
SB6003
SB6144
SB6162
HB2411
HB2712
SB5086
SB6219
HB1669
HB2944
SB6515
SB6407
SB6222
SB5722
SB6302
HB2293
HB2422
HB2666
SB5992
SB6006
SB6049
SB6146
SB6298
SB6415
HB1169
HB2359
HB2680
SB6058
SB6092
SB6249
HB2296
HB2310
SB5995
SB6026
HB2355
HB2796
SB6062
SB6406
SB6544
SB6346
HB2419
HB2573
SB6212
HB2719
HB2895
SB6160
HB1488
SB6274
SB6297
SB5544
SB6032
HB2299
SB6098
SB6199
SB6368
SB6295
SB6090
SB6094
SB6095
SB5038
SB6052
SB5141
SB5375
SB6307
HB2673
SB6468
HB2532
SB6517
HB2461
SB5689
HB2711
HB2559
SB6482
HB2862
HB2420
HB1059
HB1311
HB1344
HB2565
SB6127
HB2758
HB1437
HB2779
HB2816
HB2633
SB6213
SB6010
SB5700
HB2832
HB2330
SB5996
HB2870
SB6467
HB2576
HB2957
SB6106
HB2587
HB2938
HB2963
SB6079
SB6082
SB6229
SB6296
HB2498
HB2967
HB1560
HB2327
HB2822
SB6140
SB6211
HB2892
HB2639
HB2640
HB1869
HB2669
SB5295
SB6184
SB6230
SB6231
SB6245
SB6072
HB2667
SB6620
HB1904
HB2278
HB2336
HB2549
SB5955
HB1410
SB5288
HB1860
SB6414
HB2338
HB2357
HB2403
SB5179
SB5418
SB6413
SB5064
HB2319
HB2931
SB6273
HB2836
SB6308
HB3003
HB2757
HB2512
HB2748
SB6362
HB1827
SB6135
SB6614
HB1991
HB2408
SB6084
HB2367
SB6029
HB2437
SB6419
HB2900
SB6550
SB6417
HB1377
SB6037
HB1523
SB6105
SB6360
HB2708
HB2555
SB6384
HB2903
SB6527
SB5493
HB2702
HB2703
HB1559
HB2482
HB2995
HB2997
HB1999
HB2400
SB6061
SB5296
HB1515
HB1527
HB1594
HB1879
SB5806
HB1112
HB1756
SB5724
SB5497
SB5426
SB5522
HB1096
HB1102
SB5134
SB5184
SB5380
HB1074
SB5057
HB1398
SB5438
HB1194
HB1502
SB5397
HB1204
HB1087
SB5331
HB1136
HB1603
HB1592
SB5684
HB1549
SB5561
SB5435
SB5376
HB1503
SB5662
SB5836
HB1023
HB1380
HB1336
HB1211
SB5116
HB1110
HB1553
SB5574
SB5088
HB1109
SB5153
SB5154
HB1108
HB1729
SB5660
HB1447
SB5371
SB5061
SB5062
SB5174
SB5181
SB5205
HB1003
HB1131
HB2052
HB1064
HB1066
SB5034
HB1371
SB5680
HB1389
HB1708
HB1726
HB1815
HB1085
HB1308
HB1504
HB1742
HB1897
SB5830
HB1318
SB5577
HB1580
SB5819
HB1825
HB1263
SB5613
SB5811
HB1118
SB5682
HB1224
SB5292
HB1342
SB5799
HB1679
SB5676
HB1722
HB1903
SB5891
SB5190
SB5021
HB1155
SB5583
HB2048
SB5893
SB5394
SB5602
HB1638
SB5478
HB1382
HB1556
SB5808
SB5112
HB1195
SB5759
HB1841
SB5698
SB5526
SB5120
SB5810
HB1034
SB5020
SB5115
SB5293
HB1873
SB5972
SB5344
HB1965
